key,id,name,kana,type,sort_level,grade,group_join,permit,del
nckimport,511,大分支店_総務班,大分支店_総務班,1,433,,2,0,0
nckimport,509,熊本支店_業務第四班,熊本支店_業務第四班,1,432,,2,0,0
nckimport,508,熊本支店_業務第三班,熊本支店_業務第三班,1,431,,2,0,0
nckimport,507,熊本支店_業務第二班,熊本支店_業務第二班,1,430,,2,0,0
nckimport,506,熊本支店_ローンセンター班,熊本支店_ろーんせんたー班,1,429,,2,0,0
nckimport,505,熊本支店_業務第一班,熊本支店_業務第一班,1,428,,2,0,0
nckimport,504,熊本支店_業務第五班,熊本支店_業務第五班,1,427,,2,0,0
nckimport,501,熊本支店_窓口業務課,熊本支店_窓口業務課,1,425,,2,0,0
nckimport,500,熊本支店_公庫受託課,熊本支店_公庫受託課,1,424,,2,0,0
nckimport,499,熊本支店_農業金融センター班,熊本支店_農業金融せんたー班,1,423,,2,0,0
nckimport,498,熊本支店_農林水産環境事業第二班,熊本支店_農林水産環境事業第二班,1,422,,2,0,0
nckimport,497,熊本支店_農林水産環境事業第一班,熊本支店_農林水産環境事業第一班,1,421,,2,0,0
nckimport,496,熊本支店_総務班,熊本支店_総務班,1,420,,2,0,0
nckimport,492,長崎支店_窓口業務課,長崎支店_窓口業務課,1,418,,2,0,0
nckimport,491,長崎支店_公庫受託課,長崎支店_公庫受託課,1,417,,2,0,0
nckimport,490,長崎支店_農林水産環境事業班,長崎支店_農林水産環境事業班,1,416,,2,0,0
nckimport,489,長崎支店_業務四班,長崎支店_業務四班,1,415,,2,0,0
nckimport,488,長崎支店_業務三班,長崎支店_業務三班,1,414,,2,0,0
nckimport,487,長崎支店_業務二班,長崎支店_業務二班,1,413,,2,0,0
nckimport,486,長崎支店_業務一班,長崎支店_業務一班,1,412,,2,0,0
nckimport,485,長崎支店_総務班,長崎支店_総務班,1,411,,2,0,0
nckimport,483,福岡支店_鹿児島推進室,福岡支店_鹿児島推進室,1,410,,2,0,0
nckimport,482,福岡支店_宮崎推進室,福岡支店_宮崎推進室,1,409,,2,0,0
