key,id,p_key,p_id
nckimport,226,nckimport,225
nckimport,224,nckimport,217
nckimport,223,nckimport,217
nckimport,222,nckimport,217
nckimport,221,nckimport,217
nckimport,220,nckimport,217
nckimport,219,nckimport,217
nckimport,218,nckimport,217
nckimport,216,nckimport,208
nckimport,215,nckimport,208
nckimport,214,nckimport,208
nckimport,213,nckimport,208
nckimport,212,nckimport,208
nckimport,211,nckimport,208
nckimport,210,nckimport,208
nckimport,209,nckimport,208
nckimport,207,nckimport,200
nckimport,206,nckimport,200
nckimport,205,nckimport,200
nckimport,204,nckimport,200
nckimport,203,nckimport,200
nckimport,202,nckimport,200
nckimport,201,nckimport,200
nckimport,199,nckimport,193
nckimport,198,nckimport,193
nckimport,197,nckimport,193
nckimport,196,nckimport,193
nckimport,195,nckimport,193
nckimport,194,nckimport,193
nckimport,192,nckimport,191
nckimport,190,nckimport,186
nckimport,189,nckimport,186
nckimport,188,nckimport,186
nckimport,187,nckimport,186
nckimport,185,nckimport,184
nckimport,183,nckimport,182
nckimport,181,nckimport,180
nckimport,179,nckimport,177
nckimport,178,nckimport,177
nckimport,176,nckimport,172
nckimport,175,nckimport,172
nckimport,174,nckimport,172
nckimport,173,nckimport,172
nckimport,171,nckimport,167
nckimport,170,nckimport,167
nckimport,169,nckimport,167
nckimport,168,nckimport,167
nckimport,166,nckimport,162
nckimport,165,nckimport,162
nckimport,164,nckimport,162
nckimport,163,nckimport,162
nckimport,161,nckimport,151
nckimport,160,nckimport,151
nckimport,159,nckimport,151
nckimport,158,nckimport,151
nckimport,157,nckimport,151
nckimport,156,nckimport,151
nckimport,155,nckimport,151
nckimport,154,nckimport,151
nckimport,153,nckimport,151
nckimport,152,nckimport,151
nckimport,150,nckimport,144
nckimport,149,nckimport,144
nckimport,148,nckimport,144
nckimport,147,nckimport,144
nckimport,146,nckimport,144
nckimport,145,nckimport,144
nckimport,143,nckimport,133
nckimport,142,nckimport,133
nckimport,141,nckimport,133
nckimport,140,nckimport,133
nckimport,139,nckimport,133
nckimport,138,nckimport,133
nckimport,137,nckimport,133
nckimport,136,nckimport,133
nckimport,135,nckimport,133
nckimport,134,nckimport,133
nckimport,132,nckimport,129
nckimport,131,nckimport,129
nckimport,130,nckimport,129
nckimport,128,nckimport,121
nckimport,127,nckimport,121
nckimport,126,nckimport,121
nckimport,125,nckimport,121
nckimport,124,nckimport,121
nckimport,123,nckimport,121
nckimport,122,nckimport,121
nckimport,120,nckimport,108
nckimport,119,nckimport,108
nckimport,118,nckimport,108
nckimport,117,nckimport,108
nckimport,116,nckimport,108
nckimport,115,nckimport,108
nckimport,114,nckimport,108
nckimport,113,nckimport,108
nckimport,112,nckimport,108
nckimport,111,nckimport,108
nckimport,110,nckimport,108
nckimport,109,nckimport,108
nckimport,107,nckimport,89
nckimport,106,nckimport,89
nckimport,105,nckimport,89
nckimport,104,nckimport,89
nckimport,103,nckimport,89
nckimport,102,nckimport,89
nckimport,101,nckimport,89
nckimport,100,nckimport,89
nckimport,99,nckimport,89
nckimport,98,nckimport,89
nckimport,97,nckimport,89
nckimport,96,nckimport,89
nckimport,95,nckimport,89
nckimport,94,nckimport,89
nckimport,93,nckimport,89
nckimport,92,nckimport,89
nckimport,91,nckimport,89
nckimport,90,nckimport,89
nckimport,88,nckimport,71
nckimport,87,nckimport,71
nckimport,86,nckimport,71
nckimport,85,nckimport,71
nckimport,84,nckimport,71
nckimport,83,nckimport,71
nckimport,82,nckimport,71
nckimport,81,nckimport,71
nckimport,80,nckimport,71
nckimport,79,nckimport,71
nckimport,78,nckimport,71
nckimport,77,nckimport,71
nckimport,76,nckimport,71
nckimport,75,nckimport,71
nckimport,74,nckimport,71
nckimport,73,nckimport,71
nckimport,72,nckimport,71
nckimport,70,nckimport,65
nckimport,69,nckimport,65
nckimport,68,nckimport,65
nckimport,67,nckimport,65
nckimport,66,nckimport,65
nckimport,64,nckimport,58
nckimport,61,nckimport,58
nckimport,60,nckimport,58
nckimport,59,nckimport,58
nckimport,57,nckimport,47
nckimport,56,nckimport,47
nckimport,55,nckimport,47
nckimport,54,nckimport,47
nckimport,53,nckimport,47
nckimport,52,nckimport,47
nckimport,51,nckimport,47
nckimport,50,nckimport,47
nckimport,49,nckimport,47
nckimport,48,nckimport,47
nckimport,46,nckimport,36
nckimport,45,nckimport,36
nckimport,44,nckimport,36
nckimport,43,nckimport,36
nckimport,42,nckimport,36
nckimport,41,nckimport,36
nckimport,40,nckimport,36
nckimport,39,nckimport,36
nckimport,38,nckimport,36
nckimport,37,nckimport,36
nckimport,35,nckimport,24
nckimport,34,nckimport,24
nckimport,33,nckimport,24
nckimport,32,nckimport,24
nckimport,31,nckimport,24
nckimport,30,nckimport,24
nckimport,29,nckimport,24
nckimport,28,nckimport,24
nckimport,27,nckimport,24
nckimport,26,nckimport,24
nckimport,25,nckimport,24
nckimport,23,nckimport,21
nckimport,22,nckimport,21
nckimport,20,nckimport,15
nckimport,19,nckimport,15
nckimport,18,nckimport,15
nckimport,17,nckimport,15
nckimport,16,nckimport,15
nckimport,14,nckimport,6
nckimport,13,nckimport,6
nckimport,12,nckimport,6
nckimport,11,nckimport,6
nckimport,10,nckimport,6
nckimport,9,nckimport,6
nckimport,8,nckimport,6
nckimport,7,nckimport,6
nckimport,5,nckimport,4
nckimport,3,nckimport,1
nckimport,2,nckimport,1
nckimport,503,nckimport,501
nckimport,502,nckimport,501
nckimport,494,nckimport,492
nckimport,493,nckimport,492
nckimport,455,nckimport,453
nckimport,454,nckimport,453
nckimport,436,nckimport,433
nckimport,435,nckimport,433
nckimport,434,nckimport,433
nckimport,432,nckimport,427
nckimport,431,nckimport,427
nckimport,430,nckimport,427
nckimport,429,nckimport,427
nckimport,428,nckimport,427
nckimport,426,nckimport,425
nckimport,424,nckimport,422
nckimport,423,nckimport,422
nckimport,421,nckimport,419
nckimport,420,nckimport,419
nckimport,418,nckimport,417
nckimport,403,nckimport,401
nckimport,402,nckimport,401
nckimport,389,nckimport,387
nckimport,388,nckimport,387
nckimport,375,nckimport,373
nckimport,374,nckimport,373
nckimport,364,nckimport,362
nckimport,363,nckimport,362
nckimport,357,nckimport,355
nckimport,356,nckimport,355
nckimport,337,nckimport,335
nckimport,336,nckimport,335
nckimport,330,nckimport,328
nckimport,329,nckimport,328
nckimport,317,nckimport,315
nckimport,316,nckimport,315
nckimport,300,nckimport,298
nckimport,299,nckimport,298
nckimport,258,nckimport,255
nckimport,257,nckimport,255
nckimport,256,nckimport,255
nckimport,63,nckimport,61
nckimport,62,nckimport,61
insuite,2000595,sys,2000000
insuite,2000597,nckimport,6
insuite,2000598,nckimport,6
insuite,2000599,nckimport,6
insuite,2000600,nckimport,8
insuite,2000602,sys,2000000
csv,2100000,nckimport,1
csv,2100001,nckimport,1
csv,2100002,nckimport,1
csv,2100003,nckimport,2
csv,2100004,nckimport,3
csv,2100005,nckimport,4
csv,2100006,nckimport,4
insuite,2001252,nckimport,4
csv,2100008,nckimport,5
csv,2100009,nckimport,7
csv,2100010,nckimport,9
csv,2100011,nckimport,10
csv,2100012,nckimport,11
csv,2100013,nckimport,12
csv,2100014,nckimport,13
csv,2100015,nckimport,14
csv,2100016,nckimport,16
csv,2100017,nckimport,17
csv,2100018,nckimport,18
csv,2100019,nckimport,19
csv,2100020,nckimport,20
csv,2100021,nckimport,15
csv,2100022,nckimport,15
csv,2100023,nckimport,15
csv,2100024,nckimport,22
csv,2100025,nckimport,23
csv,2100026,nckimport,21
csv,2100027,nckimport,21
csv,2100028,nckimport,21
csv,2100029,nckimport,24
csv,2100030,nckimport,24
csv,2100031,nckimport,24
csv,2100032,nckimport,25
csv,2100033,nckimport,26
csv,2100034,nckimport,27
csv,2100035,nckimport,28
csv,2100036,nckimport,29
csv,2100037,nckimport,30
csv,2100038,nckimport,31
csv,2100039,nckimport,32
csv,2100040,nckimport,33
csv,2100041,nckimport,34
csv,2100042,nckimport,35
csv,2100043,nckimport,36
csv,2100044,nckimport,36
csv,2100045,nckimport,36
csv,2100046,nckimport,37
csv,2100047,nckimport,38
csv,2100048,nckimport,39
csv,2100049,nckimport,40
csv,2100050,nckimport,41
csv,2100051,nckimport,42
csv,2100052,nckimport,43
csv,2100053,nckimport,44
csv,2100054,nckimport,45
csv,2100055,nckimport,46
csv,2100056,nckimport,47
csv,2100057,nckimport,47
csv,2100058,nckimport,47
csv,2100059,nckimport,48
csv,2100060,nckimport,49
csv,2100061,nckimport,50
csv,2100062,nckimport,51
csv,2100063,nckimport,52
csv,2100064,nckimport,53
csv,2100065,nckimport,54
csv,2100066,nckimport,55
csv,2100067,nckimport,56
csv,2100068,nckimport,57
csv,2100069,nckimport,58
csv,2100070,nckimport,58
csv,2100071,nckimport,58
csv,2100072,nckimport,59
csv,2100073,nckimport,60
csv,2100074,nckimport,62
csv,2100075,nckimport,63
csv,2100076,nckimport,64
csv,2100077,nckimport,65
csv,2100078,nckimport,65
csv,2100079,nckimport,65
csv,2100080,nckimport,66
csv,2100081,nckimport,67
csv,2100082,nckimport,68
csv,2100083,nckimport,69
csv,2100084,nckimport,70
csv,2100085,nckimport,71
csv,2100086,nckimport,71
csv,2100087,nckimport,71
csv,2100088,nckimport,72
csv,2100089,nckimport,73
csv,2100090,nckimport,74
csv,2100091,nckimport,75
csv,2100092,nckimport,76
csv,2100093,nckimport,77
csv,2100094,nckimport,78
csv,2100095,nckimport,79
csv,2100096,nckimport,80
csv,2100097,nckimport,81
csv,2100098,nckimport,82
csv,2100099,nckimport,83
csv,2100100,nckimport,84
csv,2100101,nckimport,85
csv,2100102,nckimport,86
csv,2100103,nckimport,97
csv,2100104,nckimport,88
csv,2100105,nckimport,89
csv,2100106,nckimport,89
csv,2100107,nckimport,89
csv,2100108,nckimport,90
csv,2100109,nckimport,91
csv,2100110,nckimport,92
csv,2100111,nckimport,93
csv,2100112,nckimport,94
csv,2100113,nckimport,95
csv,2100114,nckimport,96
csv,2100115,nckimport,97
csv,2100116,nckimport,98
csv,2100117,nckimport,99
csv,2100118,nckimport,100
csv,2100119,nckimport,101
csv,2100120,nckimport,102
csv,2100121,nckimport,103
csv,2100122,nckimport,104
csv,2100123,nckimport,105
csv,2100124,nckimport,106
csv,2100125,nckimport,107
csv,2100126,nckimport,121
csv,2100127,nckimport,121
csv,2100128,nckimport,121
csv,2100129,nckimport,122
csv,2100130,nckimport,123
csv,2100131,nckimport,124
csv,2100132,nckimport,125
csv,2100133,nckimport,126
csv,2100134,nckimport,127
csv,2100135,nckimport,128
csv,2100136,nckimport,129
csv,2100137,nckimport,129
csv,2100138,nckimport,129
csv,2100139,nckimport,130
csv,2100140,nckimport,131
csv,2100141,nckimport,132
csv,2100142,nckimport,108
csv,2100143,nckimport,108
csv,2100144,nckimport,108
csv,2100145,nckimport,109
csv,2100146,nckimport,110
